time,open,high,low,close,tick_volume,spread,real_volume
2024-08-13 07:15:00,1.0937000000000001,1.09377,1.09357,1.09374,183,15,0
2024-08-13 07:30:00,1.09375,1.09375,1.09348,1.09363,241,15,0
2024-08-13 07:45:00,1.09362,1.09385,1.0936,1.09384,216,15,0
2024-08-13 08:00:00,1.09384,1.094,1.09383,1.09399,203,15,0
2024-08-13 08:15:00,1.09398,1.09399,1.09377,1.0939,165,16,0
2024-08-13 08:30:00,1.09389,1.09394,1.09377,1.09377,282,15,0
2024-08-13 08:45:00,1.09378,1.09402,1.09365,1.09395,356,15,0
2024-08-13 09:00:00,1.09396,1.09401,1.09338,1.09353,726,15,0
2024-08-13 09:15:00,1.09354,1.09381,1.09332,1.09335,545,15,0
2024-08-13 09:30:00,1.09335,1.09353,1.0931899999999999,1.09346,468,15,0
2024-08-13 09:45:00,1.09345,1.09361,1.09316,1.09323,415,15,0
2024-08-13 10:00:00,1.09323,1.09338,1.09282,1.0929,556,15,0
2024-08-13 10:15:00,1.09289,1.0933,1.09255,1.09325,692,15,0
2024-08-13 10:30:00,1.09325,1.0934,1.09273,1.09277,590,15,0
2024-08-13 10:45:00,1.09276,1.0931,1.09263,1.09291,505,15,0
2024-08-13 11:00:00,1.09291,1.09292,1.09251,1.09274,785,15,0
2024-08-13 11:15:00,1.09275,1.09276,1.092,1.09209,589,15,0
2024-08-13 11:30:00,1.09211,1.09243,1.092,1.09241,689,15,0
2024-08-13 11:45:00,1.0924,1.0924,1.0919699999999999,1.09225,492,15,0
2024-08-13 12:00:00,1.09201,1.09201,1.09128,1.09169,1118,15,0
2024-08-13 12:15:00,1.09168,1.09223,1.0916,1.09211,557,15,0
2024-08-13 12:30:00,1.09211,1.09241,1.09205,1.09235,616,15,0
2024-08-13 12:45:00,1.09236,1.09261,1.09188,1.09189,727,15,0
2024-08-13 13:00:00,1.09188,1.09196,1.09171,1.09189,691,15,0
2024-08-13 13:15:00,1.0919,1.0923,1.09189,1.0919699999999999,570,15,0
2024-08-13 13:30:00,1.0919699999999999,1.09243,1.09194,1.09207,585,15,0
2024-08-13 13:45:00,1.09207,1.09238,1.09194,1.09223,819,15,0
2024-08-13 14:00:00,1.09222,1.0925799999999999,1.09218,1.09257,692,15,0
2024-08-13 14:15:00,1.09256,1.09264,1.09241,1.09263,621,15,0
2024-08-13 14:30:00,1.09263,1.0929,1.09256,1.09279,601,15,0
2024-08-13 14:45:00,1.09277,1.09314,1.09273,1.09294,595,15,0
2024-08-13 15:00:00,1.09293,1.09307,1.09281,1.09295,635,15,0
2024-08-13 15:15:00,1.09297,1.09312,1.09246,1.09268,954,15,0
2024-08-13 15:30:00,1.09268,1.09458,1.09267,1.09388,2258,15,0
2024-08-13 15:45:00,1.09388,1.09452,1.09368,1.094,1115,15,0
2024-08-13 16:00:00,1.09401,1.09435,1.09372,1.09395,1226,15,0
2024-08-13 16:15:00,1.09396,1.09537,1.09394,1.09531,1425,15,0
2024-08-13 16:30:00,1.09532,1.0958,1.09513,1.09573,1334,15,0
2024-08-13 16:45:00,1.09574,1.09615,1.09559,1.09579,1253,15,0
2024-08-13 17:00:00,1.09576,1.09576,1.09506,1.09557,992,15,0
2024-08-13 17:15:00,1.09558,1.09569,1.09525,1.09538,884,15,0
2024-08-13 17:30:00,1.09539,1.09582,1.09493,1.0958,910,15,0
2024-08-13 17:45:00,1.09581,1.0961,1.09533,1.09554,1132,15,0
2024-08-13 18:00:00,1.09555,1.09577,1.09523,1.09546,715,15,0
2024-08-13 18:15:00,1.09547,1.09551,1.09488,1.0949200000000001,1030,15,0
2024-08-13 18:30:00,1.09491,1.09516,1.09472,1.09484,857,15,0
2024-08-13 18:45:00,1.09483,1.09536,1.09482,1.09528,648,15,0
2024-08-13 19:00:00,1.09528,1.09592,1.09519,1.09579,679,15,0
2024-08-13 19:15:00,1.09579,1.09602,1.09568,1.09602,431,15,0
2024-08-13 19:30:00,1.09601,1.0966,1.0959,1.09655,660,15,0
2024-08-13 19:45:00,1.09656,1.09733,1.09653,1.09714,1013,15,0
2024-08-13 20:00:00,1.09713,1.09735,1.09689,1.09728,699,15,0
2024-08-13 20:15:00,1.09729,1.09777,1.09717,1.09757,600,15,0
2024-08-13 20:30:00,1.09758,1.0976,1.09722,1.09738,664,15,0
2024-08-13 20:45:00,1.0974,1.09762,1.09717,1.09759,599,15,0
2024-08-13 21:00:00,1.0976,1.0984,1.09759,1.09835,683,15,0
2024-08-13 21:15:00,1.09835,1.09913,1.09834,1.09905,836,15,0
2024-08-13 21:30:00,1.09907,1.09947,1.09894,1.09938,675,15,0
2024-08-13 21:45:00,1.09938,1.09986,1.09936,1.09978,649,15,0
2024-08-13 22:00:00,1.09978,1.09987,1.09958,1.09982,635,15,0
2024-08-13 22:15:00,1.09981,1.09981,1.0993,1.09958,727,15,0
2024-08-13 22:30:00,1.09957,1.09958,1.09938,1.09954,506,15,0
2024-08-13 22:45:00,1.09953,1.09973,1.09942,1.09952,773,15,0
2024-08-13 23:00:00,1.09953,1.09955,1.09931,1.09941,257,15,0
