close_days,sl_perc,tp_perc,buy_threshold,sell_threshold,Return [%]
1,0.006,0.006,0.001,0.004,-1.300843785137791
1,0.006,0.003,0.001,0.004,-1.300843785137791
1,0.006,0.007,0.001,0.004,-1.300843785137791
1,0.006,0.001,0.001,0.004,-1.300843785137791
1,0.006,0.008,0.001,0.004,-1.300843785137791
1,0.006,0.002,0.001,0.004,-1.300843785137791
1,0.006,0.005,0.001,0.004,-1.300843785137791
2,0.004,0.008,0.001,0.005,-1.2713152773199567
2,0.004,0.007,0.001,0.005,-1.2713152773199567
2,0.004,0.003,0.001,0.005,-1.2713152773199567
2,0.004,0.005,0.001,0.005,-1.2713152773199567
2,0.004,0.006,0.001,0.005,-1.2713152773199567
2,0.004,0.001,0.001,0.005,-1.2713152773199567
2,0.004,0.004,0.001,0.005,-1.2713152773199567
2,0.004,0.002,0.001,0.005,-1.2713152773199567
1,0.005,0.001,0.001,0.004,-1.2693270047554772
1,0.005,0.003,0.001,0.004,-1.2693270047554772
1,0.005,0.008,0.001,0.004,-1.2693270047554772
1,0.005,0.002,0.001,0.004,-1.2693270047554772
1,0.005,0.005,0.001,0.004,-1.2693270047554772
1,0.005,0.006,0.001,0.004,-1.2693270047554772
1,0.005,0.007,0.001,0.004,-1.2693270047554772
1,0.005,0.004,0.001,0.004,-1.2693270047554772
1,0.008,0.005,0.001,0.004,-1.2614632374802757
1,0.008,0.007,0.001,0.004,-1.2614632374802757
1,0.008,0.002,0.001,0.004,-1.2614632374802757
1,0.008,0.006,0.001,0.004,-1.2614632374802757
1,0.008,0.008,0.001,0.004,-1.2614632374802757
1,0.008,0.001,0.001,0.004,-1.2614632374802757
1,0.008,0.003,0.001,0.004,-1.2614632374802757
1,0.008,0.004,0.001,0.004,-1.2614632374802757
2,0.005,0.005,0.001,0.002,-1.2145858952219821
2,0.005,0.003,0.001,0.002,-1.2145858952219821
2,0.005,0.008,0.001,0.002,-1.2145858952219821
2,0.005,0.004,0.001,0.002,-1.2145858952219821
2,0.005,0.001,0.001,0.002,-1.2145858952219821
2,0.005,0.002,0.001,0.002,-1.2145858952219821
2,0.005,0.007,0.001,0.002,-1.2145858952219821
2,0.005,0.006,0.001,0.002,-1.2145858952219821
1,0.004,0.002,0.001,0.001,-1.1923804182772528
1,0.004,0.006,0.001,0.001,-1.1923804182772528
1,0.004,0.005,0.001,0.001,-1.1923804182772528
1,0.004,0.001,0.001,0.001,-1.1923804182772528
1,0.004,0.003,0.001,0.001,-1.1923804182772528
1,0.004,0.008,0.001,0.001,-1.1923804182772528
1,0.004,0.004,0.001,0.001,-1.1923804182772528
1,0.004,0.007,0.001,0.001,-1.1923804182772528
1,0.003,0.005,0.001,0.003,-1.1819596943761326
1,0.003,0.006,0.001,0.003,-1.1819596943761326
1,0.003,0.007,0.001,0.003,-1.1819596943761326
1,0.003,0.004,0.001,0.003,-1.1819596943761326
1,0.003,0.008,0.001,0.003,-1.1819596943761326
1,0.003,0.002,0.001,0.003,-1.1819596943761326
1,0.003,0.001,0.001,0.003,-1.1819596943761326
1,0.003,0.003,0.001,0.003,-1.1819596943761326
2,0.007,0.004,0.001,0.001,-1.1225564545164086
2,0.007,0.001,0.001,0.001,-1.1225564545164086
